Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)
conn_from_pod1_host2_to_pod2_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185716, 0.0183743, 6.22833e+08

conn_from_pod1_host2_to_pod3_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182694, 0.0180752, 6.33137e+08

conn_from_pod1_host2_to_pod3_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185364, 0.0183394, 6.24018e+08

conn_from_pod1_host2_to_pod3_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185956, 0.018398, 6.2203e+08

conn_from_pod1_host2_to_pod3_host4_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0186263, 0.0184462, 6.20404e+08

conn_from_pod1_host2_to_pod3_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186312, 0.0184332, 6.2084e+08

conn_from_pod1_host2_to_pod3_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185816, 0.0183841, 6.22498e+08

conn_from_pod1_host2_to_pod3_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018648, 0.0184499, 6.20281e+08

conn_from_pod1_host2_to_pod3_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186141, 0.0184163, 6.21412e+08

conn_from_pod1_host2_to_pod3_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185235, 0.0183266, 6.24453e+08

conn_from_pod1_host2_to_pod4_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186165, 0.0184186, 6.21333e+08

conn_from_pod1_host2_to_pod4_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186817, 0.0184832, 6.19162e+08

conn_from_pod1_host2_to_pod4_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186215, 0.0184236, 6.21165e+08

conn_from_pod1_host2_to_pod4_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186767, 0.0184782, 6.1933e+08

conn_from_pod1_host2_to_pod4_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182358, 0.018042, 6.34302e+08

conn_from_pod1_host2_to_pod4_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185441, 0.018347, 6.23757e+08

conn_from_pod1_host2_to_pod4_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186915, 0.0184929, 6.18838e+08

